model,ticker,period,test_accuracy,test_sharpe,test_cum_return,test_max_dd,overfit_gap,sharpe_gap
XGB Only,AAPL,bear_2022,0.46774193548387094,-1.3475746087311609,-0.23459489384816068,-0.29877070011216866,0.06667101998171615,2.922733396470971
XGB Only,AAPL,recovery_2023,0.5725806451612904,4.383104687774405,0.5432995331941064,-0.06592096273895387,-0.10644518699395972,-5.242683379161312
XGB Only,AAPL,ai_boom_2024,0.5161290322580645,1.4361670829713709,0.1706578745288343,-0.16151390921932118,0.04387096774193555,0.6622364410642176
XGB Only,MSFT,bear_2022,0.4838709677419355,-1.2639134121071363,-0.2211426385534272,-0.2738154912450472,0.04244482173174868,3.5355403633596456
XGB Only,MSFT,recovery_2023,0.5161290322580645,2.6426248159478485,0.41738567792695025,-0.09633316418191928,-0.05397763783575377,-3.3922483827027796
XGB Only,MSFT,ai_boom_2024,0.5403225806451613,2.359052581521075,0.23601243546924766,-0.09566813746868363,0.011677419354838792,-0.4403148421769536
XGB Only,GOOGL,bear_2022,0.46774193548387094,-1.3472307010649012,-0.2500422811931017,-0.31416812746120326,0.10715684994123026,3.592448973735939
XGB Only,GOOGL,recovery_2023,0.532258064516129,1.9922777344077491,0.3453769081747231,-0.18351651280921366,-0.08205886132887802,-3.0643391806501272
XGB Only,GOOGL,ai_boom_2024,0.6370967741935484,2.179488939405572,0.325903028350085,-0.14956900929770112,-0.09709677419354834,-0.5676991219206602
XGB Only,AMZN,bear_2022,0.46774193548387094,-1.4106990068545848,-0.35705922895540254,-0.46643685333150353,0.05047668799791044,1.914372777748586
XGB Only,AMZN,recovery_2023,0.5564516129032258,2.5870346317066293,0.5173619399180289,-0.21184155320165332,-0.09430021848091502,-3.7132940871040643
XGB Only,AMZN,ai_boom_2024,0.532258064516129,2.35665085352206,0.31528050811474784,-0.08371120807588583,0.007741935483871032,-0.48300711314015343
XGB Only,NVDA,bear_2022,0.45161290322580644,-1.8606056572151413,-0.5176606395298631,-0.6172128291245019,0.08280005223978065,3.9049334217668603
XGB Only,NVDA,recovery_2023,0.5887096774193549,4.13129654975428,1.9636456731865102,-0.10466339623228071,-0.1066379642719445,-4.997876201054908
XGB Only,NVDA,ai_boom_2024,0.5967741935483871,3.9810545131907515,1.5808846188498302,-0.2106679686048274,-0.028774193548387172,-1.2145143104226408
XGB Only,JPM,bear_2022,0.41935483870967744,-2.013714243519465,-0.28519430201829865,-0.37160148218849176,0.07862086979234684,2.9800238815672593
XGB Only,JPM,recovery_2023,0.5483870967741935,0.9061244327766184,0.10162866361984535,-0.13440855556208697,-0.07428351111682296,-1.258816998431591
XGB Only,JPM,ai_boom_2024,0.5725806451612904,2.1448195198179185,0.2082906758115557,-0.09816758327978847,-0.00458064516129042,-0.7214423086375339
XGB+LSTM (70/30),AAPL,bear_2022,0.4838709677419355,0.6937393291562954,0.094839236299193,-0.14433252727222035,0.010056157764137374,-1.331574500935338
XGB+LSTM (70/30),AAPL,recovery_2023,0.49193548387096775,-1.4779799535751916,-0.15327463994355717,-0.3188911160380694,0.018024675491582043,2.132919042560657
