ticker,config,avg_sharpe,std_sharpe,avg_accuracy,avg_return,avg_max_dd,positive_folds,total_folds,consistency
GOOGL,XGB_Baseline,0.7789817655672936,1.3434842850305269,0.5285714285714286,0.09109892745712649,-0.17011600439988106,4,5,0.8
GOOGL,XGB + StandardScaler,0.9813180596115825,1.5472260221157674,0.5238095238095238,0.1307041108560381,-0.1689787417936422,3,5,0.6
GOOGL,XGB + ElasticNet Prefilter,0.9813180596115825,1.5472260221157674,0.5238095238095238,0.1307041108560381,-0.1689787417936422,3,5,0.6
GOOGL,XGB + Adaptive LR,0.9842084718808639,1.4259713789949144,0.5190476190476191,0.1303977134442758,-0.18226983084782722,3,5,0.6
GOOGL,XGB + All Enhancements,0.9842084718808639,1.4259713789949144,0.5190476190476191,0.1303977134442758,-0.18226983084782722,3,5,0.6
GOOGL,RF_Baseline,0.8259485758673396,1.8720119441663128,0.5396825396825398,0.1539100012210207,-0.21187693369426244,4,5,0.8
GOOGL,RF + ElasticNet + Scaler,0.8531816046209972,1.9442502338919452,0.5396825396825398,0.1699612126686989,-0.20047980204411267,4,5,0.8
SPY,XGB_Baseline,1.1625125398568887,1.1230217337468515,0.5174603174603174,0.07142602753905243,-0.09860055232309267,4,5,0.8
SPY,XGB + StandardScaler,0.9272663880327047,1.4853384758211545,0.5142857142857142,0.04602812379228773,-0.11337425648806602,4,5,0.8
SPY,XGB + ElasticNet Prefilter,0.9272663880327047,1.4853384758211545,0.5142857142857142,0.04602812379228773,-0.11337425648806602,4,5,0.8
SPY,XGB + Adaptive LR,0.9272663880327047,1.4853384758211545,0.5142857142857142,0.04602812379228773,-0.11337425648806602,4,5,0.8
SPY,XGB + All Enhancements,0.9272663880327047,1.4853384758211545,0.5142857142857142,0.04602812379228773,-0.11337425648806602,4,5,0.8
SPY,RF_Baseline,1.5511183343140407,1.3780815733115592,0.5555555555555556,0.11414676131313464,-0.07693196088426017,4,5,0.8
SPY,RF + ElasticNet + Scaler,1.5481858720091317,1.3427302672526882,0.5555555555555556,0.11301718934089397,-0.07674343587998697,4,5,0.8
QQQ,XGB_Baseline,0.6170839276413682,1.776782944294564,0.5158730158730158,0.03415738201596334,-0.1817532111132548,4,5,0.8
QQQ,XGB + StandardScaler,0.5924454327382043,1.6936213644786444,0.5142857142857142,0.028392544928349705,-0.17345156755395533,3,5,0.6
QQQ,XGB + ElasticNet Prefilter,0.5924454327382043,1.6936213644786444,0.5142857142857142,0.028392544928349705,-0.17345156755395533,3,5,0.6
QQQ,XGB + Adaptive LR,0.5924454327382043,1.6936213644786444,0.5142857142857142,0.028392544928349705,-0.17345156755395533,3,5,0.6
QQQ,XGB + All Enhancements,0.5924454327382043,1.6936213644786444,0.5142857142857142,0.028392544928349705,-0.17345156755395533,3,5,0.6
QQQ,RF_Baseline,0.3881397350297958,0.7518734598444594,0.5158730158730159,0.025508262560377727,-0.16849740356279755,3,5,0.6
QQQ,RF + ElasticNet + Scaler,0.48424213970492513,1.0122459522101643,0.5142857142857142,0.04436640037044959,-0.15966642892740435,3,5,0.6
NVDA,XGB_Baseline,1.5867656405346318,1.726600699308432,0.534920634920635,0.5483185040573275,-0.23331796996681975,4,5,0.8
NVDA,XGB + StandardScaler,1.7151958528239397,1.755536398158559,0.5365079365079366,0.5887490065896654,-0.24035560560706584,4,5,0.8
NVDA,XGB + ElasticNet Prefilter,1.7151958528239397,1.755536398158559,0.5365079365079366,0.5887490065896654,-0.24035560560706584,4,5,0.8
NVDA,XGB + Adaptive LR,1.3589202276975034,1.7490151634248579,0.5253968253968255,0.4652467452549699,-0.2873510331949551,4,5,0.8
NVDA,XGB + All Enhancements,1.3589202276975034,1.7490151634248579,0.5253968253968255,0.4652467452549699,-0.2873510331949551,4,5,0.8
