Category,Ticker,RF_Sharpe,RF_Return,RF_HitRate,RF_Features,XGB_Sharpe,XGB_Features,Test_Days
High-Beta Tech,NVDA,1.4469013165813684,141.41331732039393,59.2436974789916,46.0,0.5282506749993147,55.0,238.0
High-Beta Tech,TSLA,1.6068754489655155,228.9613873178904,50.84033613445378,46.0,0.42172115144877653,55.0,238.0
High-Beta Tech,AMD,-2.677860671839059,-98.5826724935475,41.596638655462186,42.0,1.2382264398137068,56.0,238.0
High-Beta Tech,SMCI,3.2158067291150996,8428.134432159857,56.30252100840336,46.0,2.3949446446229414,55.0,238.0
High-Beta Tech,PLTR,3.640826207527868,6731.367880465686,61.34453781512605,50.0,3.745190523054711,54.0,238.0
High-Beta Tech,COIN,0.3917368414893853,-47.65701250696149,54.054054054054056,40.0,0.8671906892951141,56.0,222.0
Mega-Cap Tech,AAPL,-0.7800861601190113,-50.251657475108914,50.0,46.0,0.41239455966537675,54.0,238.0
Mega-Cap Tech,MSFT,-2.2873708079216213,-67.59377534980592,44.957983193277315,49.0,0.37155590141617917,55.0,238.0
Mega-Cap Tech,GOOGL,-1.7172245691347408,-73.9327119889518,47.89915966386555,49.0,-1.7464454446072746,55.0,238.0
Mega-Cap Tech,AMZN,-0.8246510581372397,-48.706416426065125,45.79831932773109,50.0,-1.6335084229176156,55.0,238.0
Mega-Cap Tech,META,-1.456949295688766,-76.42877403851756,44.957983193277315,47.0,-0.36849399598936444,55.0,238.0
Semiconductors,AVGO,1.653675690084976,214.60799888391242,51.68067226890757,48.0,2.284810398761711,56.0,238.0
Semiconductors,TSM,0.6359657562933164,20.52764070078763,52.52100840336135,49.0,-1.0403438601854986,55.0,238.0
Semiconductors,INTC,0.13228440568084274,-57.0044958610735,50.84033613445378,43.0,1.1916551807493545,55.0,238.0
Semiconductors,MU,-0.9827838960089923,-89.73951321205402,42.857142857142854,48.0,-2.546965579232029,55.0,238.0
Semiconductors,QCOM,-0.7528896804473959,-52.42098708341889,54.008438818565395,48.0,0.3647924088654962,55.0,237.0
Volatile Growth,SHOP,0.06492928446138545,-42.93111341531804,49.159663865546214,49.0,-0.5860590571530789,55.0,238.0
Volatile Growth,SQ,,,,,,,
Volatile Growth,ROKU,-0.48766671894244856,-69.46254363235906,39.91596638655462,49.0,-0.8700794650481442,56.0,238.0
Volatile Growth,ZM,1.204943508600604,70.86447194132582,49.159663865546214,48.0,-1.5599742498652913,55.0,238.0
Volatile Growth,ABNB,-0.23944472392400815,-38.69864177468788,52.94117647058824,45.0,-0.9216882511866681,54.0,238.0
Indices,SPY,-3.0342968711952225,-67.45883277803541,52.94117647058824,40.0,-1.29037060329819,56.0,238.0
Indices,QQQ,-5.018374565172174,-86.4798827750389,39.49579831932773,49.0,-1.132615732673388,55.0,238.0
Indices,IWM,-2.468838855287482,-62.04172451887913,42.857142857142854,48.0,-0.9673567335945698,55.0,238.0
Indices,XLK,1.3711388896913057,72.05139885429992,48.52320675105485,47.0,-1.0238625174725062,56.0,237.0
Defensive,JNJ,-1.8578396356907898,-51.71046854096141,44.11764705882353,44.0,-2.449166315690936,55.0,238.0
Defensive,PG,-0.5253244605333666,-22.443304178377677,49.159663865546214,44.0,1.2452449572242914,56.0,238.0
Defensive,KO,-2.2084393956177206,-54.88687734245137,53.36134453781513,43.0,-1.3277529094830127,56.0,238.0
Defensive,WMT,2.42366508116795,220.70728372650504,59.2436974789916,46.0,3.3962939728392563,55.0,238.0
Financials,JPM,1.1275194291499337,56.00432074253625,51.0548523206751,46.0,-1.206886073418669,55.0,237.0
Financials,BAC,0.44051130829611956,7.844178404307711,56.72268907563025,43.0,-0.2967978649135394,55.0,238.0
Financials,GS,2.9742115246852503,458.9463331621207,61.34453781512605,45.0,1.9825695324407206,55.0,238.0
Financials,MS,-0.6481746926816613,-44.93531717626994,45.378151260504204,43.0,0.9307241697537465,56.0,238.0
