ticker,model,period,horizon,sharpe,accuracy,total_return,max_drawdown,win_rate,num_trades
AAPL,xgb,2y,1,0,0,0.2667277549177185,0,0,0
AAPL,xgb,2y,3,0,0,0.8973220760943237,0,0,0
AAPL,xgb,2y,5,0,0,2.017984768859406,0,0,0
AAPL,xgb,5y,1,0,0,0.2667277549177183,0,0,0
AAPL,xgb,5y,3,0,0,0.8973220760943217,0,0,0
AAPL,xgb,5y,5,0,0,2.017985207647184,0,0,0
AAPL,rf,2y,1,0,0,-0.10066197033830537,0,0,0
AAPL,rf,2y,3,0,0,-0.029886368818943687,0,0,0
AAPL,rf,2y,5,0,0,-0.08330602102736318,0,0,0
AAPL,rf,5y,1,0,0,-0.07794044509649378,0,0,0
AAPL,rf,5y,3,0,0,0.3527982350465113,0,0,0
AAPL,rf,5y,5,0,0,0.2628920634530718,0,0,0
AAPL,ensemble,2y,1,0,0,0.2667277549177185,0,0,0
AAPL,ensemble,2y,3,0,0,0.8973220760943237,0,0,0
AAPL,ensemble,2y,5,0,0,2.017984768859406,0,0,0
AAPL,ensemble,5y,1,0,0,0.2667277549177183,0,0,0
AAPL,ensemble,5y,3,0,0,0.8973220760943217,0,0,0
AAPL,ensemble,5y,5,0,0,2.017985207647184,0,0,0
MSFT,xgb,2y,1,0,0,0.10643486473033303,0,0,0
MSFT,xgb,2y,3,0,0,0.5374703376780328,0,0,0
MSFT,xgb,2y,5,0,0,1.281247930672953,0,0,0
MSFT,xgb,5y,1,0,0,0.10643486473033326,0,0,0
MSFT,xgb,5y,3,0,0,0.5374704570748552,0,0,0
MSFT,xgb,5y,5,0,0,1.2812481077497586,0,0,0
MSFT,rf,2y,1,0,0,-0.15460990896871563,0,0,0
MSFT,rf,2y,3,0,0,-0.1829324511875703,0,0,0
MSFT,rf,2y,5,0,0,0.13169306686804005,0,0,0
MSFT,rf,5y,1,0,0,-0.0452478706571543,0,0,0
MSFT,rf,5y,3,0,0,-0.10066656827429443,0,0,0
MSFT,rf,5y,5,0,0,-0.6012517933684776,0,0,0
MSFT,ensemble,2y,1,0,0,0.10643486473033303,0,0,0
MSFT,ensemble,2y,3,0,0,0.5374703376780328,0,0,0
MSFT,ensemble,2y,5,0,0,1.281247930672953,0,0,0
MSFT,ensemble,5y,1,0,0,0.10643486473033326,0,0,0
MSFT,ensemble,5y,3,0,0,0.5374704570748552,0,0,0
MSFT,ensemble,5y,5,0,0,1.2812481077497586,0,0,0
NVDA,xgb,2y,1,0,0,0.6139785899480958,0,0,0
NVDA,xgb,2y,3,0,0,3.647671647959351,0,0,0
NVDA,xgb,2y,5,0,0,0.10847532833972684,0,0,0
NVDA,xgb,5y,1,0,0,0.6139785898936432,0,0,0
NVDA,xgb,5y,3,0,0,3.6476716478101894,0,0,0
