ticker,model,accuracy,sharpe,max_drawdown,win_rate,status,error,train_samples,test_samples,period,test_type
AAPL,rf,45.98930481283423,-1.7471304033016044,-85.35310307615606,45.98930481283423,success,,1064,187,full,full_period
AAPL,xgb,56.68449197860963,3.852134678427945,-31.940731734143874,56.68449197860963,success,,1064,187,full,full_period
AAPL,lstm_small,52.94117647058824,0.3429888552136033,-49.440055960066886,52.94117647058824,success,,1064,187,full,full_period
AAPL,ensemble_lstm_heavy_70_30,48.663101604278076,-1.2066825674351254,-72.02436398078915,48.663101604278076,success,,1064,187,full,full_period
AAPL,ensemble_equal_50_50,46.524064171122994,-1.9616135653200901,-74.34748339035184,46.524064171122994,success,,1064,187,full,full_period
AAPL,ensemble_xgb_heavy_30_70,47.593582887700535,-2.678365434547214,-81.75637750079632,47.593582887700535,success,,1064,187,full,full_period
MSFT,rf,36.898395721925134,-2.3301239630018897,-83.18669260780513,36.898395721925134,success,,1064,187,full,full_period
MSFT,xgb,65.24064171122996,3.6434248582939515,-41.87418022644466,65.24064171122996,success,,1064,187,full,full_period
MSFT,lstm_small,37.4331550802139,-3.2888649493975692,-86.63971236196349,37.4331550802139,success,,1064,187,full,full_period
MSFT,ensemble_lstm_heavy_70_30,37.967914438502675,-2.4953804906103043,-82.77118063810397,37.967914438502675,success,,1064,187,full,full_period
MSFT,ensemble_equal_50_50,38.50267379679144,-0.27765398174425626,-71.56458399045711,38.50267379679144,success,,1064,187,full,full_period
MSFT,ensemble_xgb_heavy_30_70,34.22459893048128,-2.234037385312106,-76.2440111416519,34.22459893048128,success,,1064,187,full,full_period
NVDA,rf,57.21925133689839,1.1927473692053052,-70.71670346914267,57.21925133689839,success,,1064,187,full,full_period
NVDA,xgb,66.31016042780749,5.527614273027563,-47.63806267240707,66.31016042780749,success,,1064,187,full,full_period
NVDA,lstm_small,56.68449197860963,2.527729584609213,-60.219070148432266,56.68449197860963,success,,1064,187,full,full_period
NVDA,ensemble_lstm_heavy_70_30,57.75401069518716,1.3035708512739699,-62.511533935007336,57.75401069518716,success,,1064,187,full,full_period
NVDA,ensemble_equal_50_50,68.98395721925134,5.521513477181922,-39.401866302468925,68.98395721925134,success,,1064,187,full,full_period
NVDA,ensemble_xgb_heavy_30_70,62.56684491978609,2.771994294445547,-62.51153393500732,62.56684491978609,success,,1064,187,full,full_period
GOOGL,rf,36.36363636363637,-5.992493034311877,-97.48494628261261,36.36363636363637,success,,1064,187,full,full_period
GOOGL,xgb,68.44919786096256,8.196348792506907,-21.378310198821005,68.44919786096256,success,,1064,187,full,full_period
GOOGL,lstm_small,36.898395721925134,-3.7699134863660904,-91.42759758983698,36.898395721925134,success,,1064,187,full,full_period
GOOGL,ensemble_lstm_heavy_70_30,46.524064171122994,-1.5704992184721525,-74.74698279410019,46.524064171122994,success,,1064,187,full,full_period
GOOGL,ensemble_equal_50_50,36.898395721925134,-6.441881279943422,-96.50908561678496,36.898395721925134,success,,1064,187,full,full_period
GOOGL,ensemble_xgb_heavy_30_70,39.57219251336899,-5.168216741381926,-93.80698033211925,39.57219251336899,success,,1064,187,full,full_period
AMZN,rf,42.24598930481284,-3.1198828706074773,-85.50834549758282,42.24598930481284,success,,1064,187,full,full_period
AMZN,xgb,59.35828877005348,3.258313950769146,-42.90183985291069,59.35828877005348,success,,1064,187,full,full_period
AMZN,lstm_small,49.73262032085562,-0.7999428938418094,-79.46033601578118,49.73262032085562,success,,1064,187,full,full_period
AMZN,ensemble_lstm_heavy_70_30,44.38502673796791,-1.7262975334668647,-79.93748802930813,44.38502673796791,success,,1064,187,full,full_period
