experiment_id,ticker,model_type,status,sharpe_ratio,accuracy,precision,recall,pnl,max_drawdown,win_rate,loss_rate,avg_win,avg_loss,profit_factor,rmse,mae,num_folds,samples,features_used,error_message,timestamp
phase2b_baseline_rf,GLD,rf,failed,2.510413613064297,0.46613545816733065,0.5588235294117647,0.5066666666666667,0.63989786209977,-0.10127740838500301,0.5976095617529881,0.40239043824701193,0.009532729642793484,-0.009061592178257215,1.562365530579234,0.01272574207820816,0.009383382713226763,1,1254,144,Invalid format specifier '.3f if result.sharpe_ratio else 'N/A'' for object of type 'float',2025-12-29T15:25:30.574392
phase2b_baseline_xgb,GLD,xgb,failed,2.510413613064297,0.450199203187251,0.625,0.2,0.63989786209977,-0.10127740838500301,0.5976095617529881,0.40239043824701193,0.009532729642793484,-0.009061592178257215,1.562365530579234,0.013941338063545226,0.01047118970380043,1,1254,144,Invalid format specifier '.3f if result.sharpe_ratio else 'N/A'' for object of type 'float',2025-12-29T15:25:38.533223
phase2b_macro_rf,GLD,rf,failed,2.510413613064297,0.46613545816733065,0.5588235294117647,0.5066666666666667,0.63989786209977,-0.10127740838500301,0.5976095617529881,0.40239043824701193,0.009532729642793484,-0.009061592178257215,1.562365530579234,0.012725742078208159,0.009383382713226763,1,1254,144,Invalid format specifier '.3f if result.sharpe_ratio else 'N/A'' for object of type 'float',2025-12-29T15:25:41.281472
phase2b_sentiment_rf,GLD,rf,failed,2.510413613064297,0.46613545816733065,0.5588235294117647,0.5066666666666667,0.63989786209977,-0.10127740838500301,0.5976095617529881,0.40239043824701193,0.009532729642793484,-0.009061592178257215,1.562365530579234,0.01272574207820816,0.009383382713226763,1,1254,144,Invalid format specifier '.3f if result.sharpe_ratio else 'N/A'' for object of type 'float',2025-12-29T15:25:44.439948
phase2b_full_features_rf,GLD,rf,failed,2.510413613064297,0.46613545816733065,0.5588235294117647,0.5066666666666667,0.63989786209977,-0.10127740838500301,0.5976095617529881,0.40239043824701193,0.009532729642793484,-0.009061592178257215,1.562365530579234,0.01272574207820816,0.009383382713226763,1,1254,144,Invalid format specifier '.3f if result.sharpe_ratio else 'N/A'' for object of type 'float',2025-12-29T15:25:47.547403
phase2b_elasticnet_select_rf,GLD,rf,failed,2.510413613064297,0.46613545816733065,0.5588235294117647,0.5066666666666667,0.63989786209977,-0.10127740838500301,0.5976095617529881,0.40239043824701193,0.009532729642793484,-0.009061592178257215,1.562365530579234,0.01272574207820816,0.009383382713226763,1,1254,144,Invalid format specifier '.3f if result.sharpe_ratio else 'N/A'' for object of type 'float',2025-12-29T15:25:50.741188
phase2b_xgb_depth_sweep_d3,QQQ,xgb,failed,0.7303243104990417,0.4820717131474104,0.5565217391304348,0.44755244755244755,0.1782831430771259,-0.22768306876309535,0.5697211155378487,0.4302788844621514,0.009033208236875463,-0.010187526377877476,1.1740472013041425,0.01550370647475538,0.01055975548846921,1,1254,144,Invalid format specifier '.3f if result.sharpe_ratio else 'N/A'' for object of type 'float',2025-12-29T15:25:53.924167
phase2b_xgb_depth_sweep_d4,QQQ,xgb,failed,0.7303243104990417,0.4820717131474104,0.5565217391304348,0.44755244755244755,0.1782831430771259,-0.22768306876309535,0.5697211155378487,0.4302788844621514,0.009033208236875463,-0.010187526377877476,1.1740472013041425,0.01550370647475538,0.01055975548846921,1,1254,144,Invalid format specifier '.3f if result.sharpe_ratio else 'N/A'' for object of type 'float',2025-12-29T15:25:55.739190
phase2b_xgb_depth_sweep_d5,QQQ,xgb,failed,0.7303243104990417,0.4820717131474104,0.5565217391304348,0.44755244755244755,0.1782831430771259,-0.22768306876309535,0.5697211155378487,0.4302788844621514,0.009033208236875463,-0.010187526377877476,1.1740472013041425,0.01550370647475538,0.01055975548846921,1,1254,144,Invalid format specifier '.3f if result.sharpe_ratio else 'N/A'' for object of type 'float',2025-12-29T15:25:57.291004
phase2b_rf_all_tiers,SPY,rf,failed,0.7471715192555046,0.4940239043824701,0.5454545454545454,0.6713286713286714,0.15729439748465968,-0.18755232635809702,0.5697211155378487,0.4302788844621514,0.007161789574470532,-0.007956910056565819,1.1917616049593944,0.012337655469597681,0.007569431813937648,1,1254,144,Invalid format specifier '.3f if result.sharpe_ratio else 'N/A'' for object of type 'float',2025-12-29T15:25:58.529258
